sentence	pronoun	candidates	label	correct	right	left	split
Jack pays more for the things Jim gets for nothing, because he was desperate.	he	['Jack' 'Jim']	0	Jack was desperate.	was desperate.	Jack pays more for the things Jim gets for nothing, because	train
Jack pays more for the things Jim gets for nothing, because he had it available.	he	['Jack' 'Jim']	1	Jim had it available.	had it available.	Jack pays more for the things Jim gets for nothing, because	train
A mathematical equation is more influential than politics, because it will stand forever.	it	['A mathematical equation' 'politics']	0	A mathematical equation will stand forever.	will stand forever.	A mathematical equation is more influential than politics, because	train
A mathematical equation is more influential than politics, because it concerns only the present.	it	['A mathematical equation' 'politics']	1	politics concerns only the present.	concerns only the present.	A mathematical equation is more influential than politics, because	train
Policemen advocated the use of wire taps to track terrorists, because they could not catch them without those tools.	they	['Policemen' 'terrorists']	0	Policemen could not catch them without those tools.	could not catch them without those tools.	Policemen advocated the use of wire taps to track terrorists, because	train
Policemen advocated the use of wire taps to track terrorists, because they are hard to track.	they	['Policemen' 'terrorists']	1	terrorists are hard to track.	are hard to track.	Policemen advocated the use of wire taps to track terrorists, because	train
A policeman saw John Edwards commit the crime, so he was arrested.	he	['A policeman' 'John Edwards']	1	John Edwards was arrested.	was arrested.	A policeman saw John Edwards commit the crime, so	train
A policeman saw John Edwards commit the crime, so he apprehended the criminal.	he	['A policeman' 'John Edwards']	0	A policeman apprehended the criminal.	apprehended the criminal.	A policeman saw John Edwards commit the crime, so	train
The hammer hit the bullet, so it shot.	it	['The hammer' 'the bullet']	1	the bullet shot.	shot.	The hammer hit the bullet, so	train
The hammer hit the bullet, so it stopped.	it	['The hammer' 'the bullet']	0	The hammer stopped.	stopped.	The hammer hit the bullet, so	train
A person is more productive on an IDE than a text editor, therefore it should be used in general practice.	it	['an IDE' 'a text editor']	0	an IDE should be used in general practice.	should be used in general practice.	A person is more productive on an IDE than a text editor, therefore	train
A person is more productive on an IDE than a text editor, therefore it should not be used in general practice.	it	['an IDE' 'a text editor']	1	a text editor should not be used in general practice.	should not be used in general practice.	A person is more productive on an IDE than a text editor, therefore	train
Kenny attacked Ben, and then he attacked back.	he	['Kenny' 'Ben']	1	Ben attacked back.	attacked back.	Kenny attacked Ben, and then	train
Kenny attacked Ben, and then he defended.	he	['Kenny' 'Ben']	0	Kenny defended.	defended.	Kenny attacked Ben, and then	train
Sam hates Martha Stewart, because she committed a crime.	she	['Sam' 'Martha Stewart']	1	Martha Stewart committed a crime.	committed a crime.	Sam hates Martha Stewart, because	train
Sam hates Martha Stewart, because she felt that she was hypocritical.	she	['Sam' 'Martha Stewart']	0	Sam felt that	felt that	Sam hates Martha Stewart, because	train
The plane shot the rocket at the target, then it hit the target.	it	['the rocket' 'the target']	0	the rocket hit the target.	hit the target.	The plane shot the rocket at the target, then	train
The plane shot the rocket at the target, then it blew up.	it	['the rocket' 'the target']	1	the target blew up.	blew up.	The plane shot the rocket at the target, then	train
MIT accepted the students, because they had good grades.	they	['MIT' 'the students']	1	the students had good grades.	had good grades.	MIT accepted the students, because	train
MIT accepted the students, because they decided that they were the best.	they	['MIT' 'the students']	0	MIT decided that	decided that	MIT accepted the students, because	train
Obama beat John McCain, because he was the better candidate.	he	['Obama' 'John McCain']	0	Obama was the better candidate.	was the better candidate.	Obama beat John McCain, because	train
Obama beat John McCain, because he failed to win the majority of the electoral votes.	he	['Obama' 'John McCain']	1	John McCain failed to win the majority of the electoral votes.	failed to win the majority of the electoral votes.	Obama beat John McCain, because	train
My brother put a Barbie that has metal parts in the microwave, so it melted.	it	['a Barbie' 'the microwave']	0	a Barbie melted.	melted.	My brother put a Barbie that has metal parts in the microwave, so	train
